,0
0,7.530727e-05
1,8.467785e-05
2,7.99308e-05
3,8.098001e-05
4,9.375085e-05
5,4.177483e-05
6,6.4293105e-05
7,8.323798e-05
8,0.00017989948
9,0.00017011409
10,0.00013972084
11,0.0001938352
12,0.0002914211
13,0.00023254064
14,0.00039835443
15,0.00034823644
16,0.00041435857
17,0.0005406724
18,0.00054314703
19,0.0003852935
20,0.00058614905
21,0.00061709696
22,0.00072456186
23,0.00065299444
24,0.000547675
25,0.00043685833
26,0.00025673976
27,0.00015737086
28,0.00013659667
29,0.00018724593
30,0.00016567738
31,0.00012455376
32,0.00012108422
33,0.000111674315
34,0.0001818319
35,0.00019654071
37,0.00022909555
38,0.00020235761
56,2.1326758e-05
57,2.2879412e-05
58,1.7519598e-05
59,1.5660235e-05
60,1.5047949e-05
61,1.8909179e-05
