lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
344.864176,352.864176,50.402366,58.402366,-11.0,54.4,61
345.999349,353.999349,50.717004,58.717004,-10.0,54.7,62
347.134521,355.134521,51.031643,59.031643,-8.8,55.0,63
348.132792,356.132792,51.401118,59.401118,-7.8,55.4,64
349.131062,357.131062,51.770593,59.770593,-6.8,55.7,65
350.129333,358.129333,52.140068,60.140068,-5.8,56.1,66
350.939524,358.939524,52.456469,60.456469,-5.0,56.4,67
351.749715,359.749715,52.772871,60.772871,-4.2,56.7,68
352.559906,0.559906,53.089272,61.089272,-3.4,57.0,69
353.44106,1.44106,53.31666,61.31666,-2.5,57.3,70
354.322215,2.322215,53.544047,61.544047,-1.6,57.5,71
355.203369,3.203369,53.771435,61.771435,-0.7,57.7,72
356.217841,4.217841,53.99019,61.99019,0.21,57.9,73
357.232312,5.232312,54.208945,62.208945,1.23,58.2,74
358.246784,6.246784,54.4277,62.4277,2.24,58.4,75
359.086485,7.086485,54.685828,62.685828,3.08,58.6,76
359.926185,7.926185,54.943956,62.943956,3.92,58.9,77
0.765886,8.765886,55.202084,63.202084,4.76,59.2,78
1.50569,9.50569,55.412407,63.412407,5.5,59.4,79
2.245493,10.245493,55.622731,63.622731,6.24,59.6,80
2.985297,10.985297,55.833054,63.833054,6.98,59.8,81
3.436302,11.436302,56.061725,64.061725,7.43,60.0,82
3.887308,11.887308,56.290395,64.290395,7.88,60.2,83
4.338313000000001,12.338313,56.519066,64.519066,8.33,60.5,84
4.812342,12.812342,56.725244,64.725244,8.81,60.7,85
5.286371,13.286371,56.931422,64.931422,9.28,60.9,86
5.7604,13.7604,57.1376,65.1376,9.76,61.1,87
6.235164,14.235164,57.270793,65.270793,10.2,61.2,88
6.709929,14.709929,57.403985,65.403985,10.7,61.4,89
7.184693,15.184693,57.537178,65.537178,11.1,61.5,90
9.852563,17.852563,57.408649,65.408649,13.8,61.4,91
12.520433,20.520433,57.280121,65.280121,16.5,61.2,92
15.188303,23.188303,57.151592,65.151592,19.1,61.1,93
16.354541,24.354541,57.161402,65.161402,20.3,61.1,94
17.520778,25.520778,57.171213,65.171213,21.5,61.1,95
18.687016,26.687016,57.181023,65.181023,22.6,61.1,96
18.733202,26.733202,57.407885,65.407885,22.7,61.4,97
18.779387,26.779387,57.634748,65.634748,22.7,61.6,98
18.825573,26.825573,57.86161,65.86161,22.8,61.8,99
19.084464,27.084464,57.913879,65.913879,23.0,61.9,100
19.343354,27.343354,57.966148,65.966148,23.3,61.9,101
19.602245,27.602245,58.018417,66.018417,23.6,62.0,102
19.713728,27.713728,58.04084,66.04084,23.7,62.0,103
19.825212,27.825212,58.063263,66.063263,23.8,62.0,104
19.936695,27.936695,58.085686,66.085686,23.9,62.0,105
20.515858,28.515858,58.154436,66.154436,24.5,62.1,106
21.095022,29.095022,58.223185,66.223185,25.0,62.2,107
21.674185,29.674185,58.291935,66.291935,25.6,62.2,108
22.556508,30.556508,58.376734,66.376734,26.5,62.3,109
23.438831,31.438831,58.461534,66.461534,27.4,62.4,110
24.321154,32.321154,58.546333,66.546333,28.3,62.5,111
24.895373,32.895373,58.67847,66.67847,28.8,62.6,112
25.469591,33.469591,58.810608,66.810608,29.4,62.8,113
26.04381,34.04381,58.942745,66.942745,30.0,62.9,114
26.270261,34.270261,59.101609,67.101609,30.2,63.1,115
26.496711,34.496711,59.260474,67.260474,30.4,63.2,116
26.723162,34.723162,59.419338,67.419338,30.7,63.4,117
26.945006,34.945006,59.472492,67.472492,30.9,63.4,118
27.166851,35.166851,59.525646,67.525646,31.1,63.5,119
27.388695,35.388695,59.5788,67.5788,31.3,63.5,120
26.964867,34.964867,59.857274,67.857274,30.9,63.8,121
26.54104,34.54104,60.135749,68.135749,30.5,64.1,122
26.117212,34.117212,60.414223,68.414223,30.1,64.4,123
26.70032,34.70032,60.552195,68.552195,30.7,64.5,124
27.283427,35.283427,60.690168,68.690168,31.2,64.6,125
27.866535,35.866535,60.82814,68.82814,31.8,64.8,126
28.577137,36.577137,60.750725,68.750725,32.5,64.7,127
29.287739,37.287739,60.673309,68.673309,33.2,64.6,128
29.998341,37.998341,60.595894,68.595894,33.9,64.5,129
30.119632,38.119632,60.562971,68.562971,34.1,64.5,130
30.240922,38.240922,60.530047,68.530047,34.2,64.5,131
30.362213,38.362213,60.497124,68.497124,34.3,64.4,132
30.178144,38.178144,60.516548,68.516548,34.1,64.5,133
29.994074,37.994074,60.535973,68.535973,33.9,64.5,134
29.810005,37.810005,60.555397,68.555397,33.8,64.5,135
30.714247,38.714247,60.699163,68.699163,34.7,64.6,136
31.61849,39.61849,60.842928,68.842928,35.6,64.8,137
32.522732,40.522732,60.986694,68.986694,36.5,64.9,138
