lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
345.889069,353.889069,48.817207,56.817207,-10.0,52.8,18
350.023621,358.023621,50.148739,58.148739,-5.9,54.1,19
354.023865,2.023865,51.530376,59.530376,-1.9,55.5,20
357.912136,5.912136,52.803192,60.803192,1.91,56.8,21
2.046248,10.046248,53.918598,61.918598,6.04,57.9,22
5.709579,13.709579,54.941006,62.941006,9.7,58.9,23
9.073149,17.073149,55.587677,63.587677,13.0,59.5,24
13.107788,21.107788,56.302021,64.302021,17.1,60.3,25
16.794044,24.794044,56.584576,64.584576,20.7,60.5,26
19.805187,27.805187,56.763348,64.763348,23.8,60.7,27
22.090872,30.090872,56.960136,64.960136,26.0,60.9,28
24.06399,32.06399,56.952187,64.952187,28.0,60.9,29
25.17086,33.17086,56.736958,64.736958,29.1,60.7,30
26.839041,34.839041,56.438919,64.438919,30.8,60.4,31
28.71035,36.71035,56.082859,64.082859,32.7,60.0,32
31.085384,39.085384,55.710606,63.710606,35.0,59.7,33
33.823524,41.823524,55.485115,63.485115,37.8,59.4,34
35.832726,43.832726,54.980572,62.980572,39.8,58.9,35
37.984421,45.984421,54.542156,62.542156,41.9,58.5,36
40.074062,48.074062,54.334217,62.334217,44.0,58.3,37
42.290634,50.290634,54.784031,62.784031,46.2,58.7,38
44.419373,52.419373,55.490753,63.490753,48.4,59.4,39
45.545307,53.545307,55.087799,63.087799,49.5,59.0,40
46.07785,54.07785,54.253811,62.253811,50.0,58.2,41
46.633339,54.633339,53.656353,61.656353,50.6,57.6,42
48.087685,56.087685,53.816738,61.816738,52.0,57.8,43
