lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
345.418152,353.418152,54.777161,62.777161,-10.0,58.7,22
348.072723,356.072723,55.92989,63.92989,-7.9,59.9,23
350.535126,358.535126,56.988335,64.988335,-5.4,60.9,24
352.952087,0.952087,57.899704,65.899704,-3.0,61.8,25
355.57196,3.57196,58.679199,66.679199,-0.4,62.6,26
357.564594,5.564594,59.241714,67.241714,1.56,63.2,27
0.020221,8.020221,59.6022,67.6022,4.02,63.6,28
2.259104,10.259104,60.07209,68.07209,6.25,64.0,29
4.225853,12.225853,60.255882,68.255882,8.220000000000002,64.2,30
7.142595,15.142595,60.357948,68.357948,11.1,64.3,31
10.271872,18.271872,60.324715,68.324715,14.2,64.3,32
13.300745,21.300745,60.031876,68.031876,17.3,64.0,33
16.064486,24.064486,59.432472,67.432472,20.0,63.4,34
18.872005,26.872005,58.906754,66.906754,22.8,62.9,35
21.606441,29.606441,58.507347,66.507347,25.6,62.5,36
23.925079,31.925079,58.075001,66.075001,27.9,62.0,37
25.462156,33.462156,57.959084,65.959084,29.4,61.9,38
27.826723,35.826723,57.685917,65.685917,31.8,61.6,39
30.433716,38.433716,57.429764,65.429764,34.4,61.4,40
33.157219,41.157219,57.352425,65.352425,37.1,61.3,41
36.076927,44.076927,57.094288,65.094288,40.0,61.0,42
37.442841,45.442841,57.031391,65.031391,41.4,61.0,43
38.970425,46.970425,57.339336,65.339336,42.9,61.3,44
40.707798,48.707798,57.58279,65.58279,44.7,61.5,45
41.263973,49.263973,57.464081,65.464081,45.2,61.4,46
41.753708,49.753708,57.364895,65.364895,45.7,61.3,47
43.274204,51.274204,57.521591,65.521591,47.2,61.5,48
44.557941,52.557941,57.077145,65.077145,48.5,61.0,49
45.468685,53.468685,55.931725,63.931725,49.4,59.9,50
46.166424,54.166424,55.345478,63.345478,50.1,59.3,51
47.311089,55.311089,55.218601,63.218601,51.3,59.2,52
48.568554,56.568554,54.445698,62.445698,52.5,58.4,53
50.250328,58.250328,53.273506,61.273506,54.2,57.2,54
51.501766,59.501766,52.594589,60.594589,55.5,56.5,55
52.843544,60.843544,52.04026,60.04026,56.8,56.0,56
53.911613,61.911613,51.69276,59.69276,57.9,55.6,57
55.847557,63.847557,51.371231,59.371231,59.8,55.3,58
56.797249,64.797249,51.023064,59.023064,60.7,55.0,59
58.685524,66.685524,50.60183,58.60183,62.6,54.6,60
