lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
346.77597,354.77597,55.357643,63.357643,-9.2,59.3,14
349.835785,357.835785,57.31752,65.31752,-6.1,61.3,15
353.198029,1.198029,58.888443,66.888443,-2.8,62.8,16
357.09704,5.09704,60.106255,68.106255,1.09,64.1,17
1.713275,9.713275,60.439896,68.439896,5.71,64.4,18
6.684475,14.684475,60.274483,68.274483,10.6,64.2,19
12.365625,20.365625,60.198212,68.198212,16.3,64.1,20
18.458162,26.458162,59.489216,67.489216,22.4,63.4,21
22.840746,30.840746,58.703064,66.703064,26.8,62.7,22
26.103621,34.103621,57.973,65.973,30.1,61.9,23
29.650036,37.650036,57.127682,65.127682,33.6,61.1,24
34.044952,42.044952,56.342545,64.342545,38.0,60.3,25
38.693348,46.693348,55.775215,63.775215,42.6,59.7,26
43.11578,51.11578,55.924068,63.924068,47.1,59.9,27
46.61874,54.61874,56.836136,64.836136,50.6,60.8,28
49.154438,57.154438,57.85207,65.85207,53.1,61.8,29
53.248837,61.248837,60.210869,68.210869,57.2,64.2,30
56.525337,64.525337,60.974304,68.974304,60.5,64.9,31
62.956001,70.956001,62.0858,70.0858,66.9,66.0,32
