lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
345.038818,353.038818,50.229366,58.229366,-10.0,54.2,16
346.695862,354.695862,51.808777,59.808777,-9.3,55.8,17
348.194519,356.194519,53.364361,61.364361,-7.8,57.3,18
349.278931,357.278931,55.148998,63.148998,-6.7,59.1,19
350.197693,358.197693,56.666973,64.666973,-5.8,60.6,20
350.671844,358.671844,58.358219,66.358219,-5.3,62.3,21
350.203613,358.203613,60.046776,68.046776,-5.7,64.0,22
349.246063,357.246063,61.507515,69.507515,-6.7,65.5,23
348.141022,356.141022,62.775185,70.775185,-7.8,66.7,24
346.792114,354.792114,63.876183,71.876183,-9.2,67.8,25
345.770752,353.770752,64.436867,72.436867,-10.0,68.4,26
344.709442,352.709442,64.970619,72.970619,-11.0,68.9,27
344.422913,352.422913,64.059158,72.05915799999998,-11.0,68.0,33
345.322113,353.322113,64.348732,72.348732,-10.0,68.3,34
344.517212,352.517212,64.158806,72.158806,-11.0,68.1,35
344.527954,352.527954,63.815712,71.815712,-11.0,67.8,36
344.937531,352.937531,63.556351,71.556351,-11.0,67.5,37
346.114044,354.114044,63.650513,71.650513,-9.8,67.6,38
346.740326,354.740326,63.342331,71.342331,-9.2,67.3,39
348.124634,356.124634,63.382538,71.382538,-7.8,67.3,40
350.218323,358.218323,63.722618,71.722618,-5.7,67.7,41
352.261749,0.261749,64.064102,72.064102,-3.7,68.0,42
355.497559,3.497559,66.452225,74.452225,-0.5,70.4,43
356.47588,4.47588,65.812012,73.81201199999998,0.47,69.8,44
358.082169,6.082169,65.498093,73.49809299999998,2.08,69.4,45
359.8481,7.8481,65.215538,73.21553799999998,3.84,69.2,46
1.90121,9.90121,65.039482,73.039482,5.9,69.0,47
3.836316,11.836316,64.947128,72.947128,7.83,68.9,48
6.769506,14.769506,65.199631,73.19963099999998,10.7,69.1,49
